SimMethod;Method;FDR;Sensitivity;Type1Error;SampleSize;Beta;CausalTaxa;Setting
MIDASim;Corncob;0.101409364651119;0.850769230769231;0.0306661174677413;50;5;26;Setting 11
MIDASim;camp;0.0671440760391999;0.518461538461538;0.0101923076923077;50;5;26;Setting 11
MIDASim;ADAPT;0.0412833757141853;0.901538461538462;0.0136460825881925;200;5;26;Setting 12
MIDASim;WilcoxCLR;0.35748295679557;0.93;0.174230769230769;200;5;26;Setting 12
MIDASim;WilcoxTSS;0.10219296495087;0.910384615384615;0.0339874872318693;200;5;26;Setting 12
MIDASim;ANCOMBC2;0.0523677046958422;0.965061538461538;0.0181638595027003;200;5;26;Setting 12
MIDASim;DESeq2;0.131004296204344;0.954615384615385;0.0443398876404494;200;5;26;Setting 12
MIDASim;ALDEx2;0.0613566331316094;0.893846153846154;0.0185712461695608;200;5;26;Setting 12
MIDASim;LinDA;0.0826657127962467;0.925384615384615;0.0232692307692308;200;5;26;Setting 12
MIDASim;ZicoSeq;0.12494494750376;0.953123076923077;0.0971229519371135;200;5;26;Setting 12
MIDASim;Corncob;0.163507148693428;0.952692307692308;0.0608746169560776;200;5;26;Setting 12
MIDASim;camp;0.0730499135752211;0.860769230769231;0.0195192307692308;200;5;26;Setting 12
MIDASim;MaAsLin2;0.0383333333333333;0.0155769230769231;0.000533229794895348;50;1.5;13;Setting 1
MIDASim;MaAsLin2;0.0569004329004329;0.303076923076923;0.00516914035689774;200;1.5;13;Setting 2
MIDASim;MaAsLin2;0.0493650793650794;0.349807692307692;0.0037432367716911;50;3;13;Setting 3
MIDASim;MaAsLin2;0.0546689029924324;0.84;0.00794308179508483;200;3;13;Setting 4
MIDASim;MaAsLin2;0.06115559732665;0.540769230769231;0.00683665059749081;50;5;13;Setting 5
MIDASim;MaAsLin2;0.0941081981743746;0.82224358974359;0.0135589584161158;200;5;13;Setting 6
MIDASim;MaAsLin2;0.0353333333333333;0.0111538461538462;0.000746990288116665;50;1.5;26;Setting 7
MIDASim;MaAsLin2;0.310758722393356;0.286923076923077;0.0756234944293887;200;1.5;26;Setting 8
MIDASim;MaAsLin2;0.0312355921855922;0.190632051282051;0.00369933618847567;50;3;26;Setting 9
MIDASim;MaAsLin2;0.0868219489847434;0.721461538461538;0.0256297425474255;200;3;26;Setting 10
MIDASim;MaAsLin2;0.0550904853361442;0.655384615384615;0.0131161025057385;50;5;26;Setting 11
MIDASim;MaAsLin2;0.0815332718409146;0.919230769230769;0.0298290467451088;200;5;26;Setting 12
